filename,image_path,mask_path,ac_gt,ac_pred,ac_residual
frame_000613.png,../../training_data/segmentation_dataset/images\frame_000613.png,../../training_data/masks_pred\frame_000613.png,297.22,302.08,-4.859999999999957
frame_005108.png,../../training_data/segmentation_dataset/images\frame_005108.png,../../training_data/masks_pred\frame_005108.png,161.07,172.32,-11.25
frame_001060.png,../../training_data/segmentation_dataset/images\frame_001060.png,../../training_data/masks_pred\frame_001060.png,155.97,171.98,-16.00999999999999
frame_002513.png,../../training_data/segmentation_dataset/images\frame_002513.png,../../training_data/masks_pred\frame_002513.png,267.39,274.06,-6.670000000000016
frame_005191.png,../../training_data/segmentation_dataset/images\frame_005191.png,../../training_data/masks_pred\frame_005191.png,207.39,193.17,14.22
frame_006103.png,../../training_data/segmentation_dataset/images\frame_006103.png,../../training_data/masks_pred\frame_006103.png,303.71,313.51,-9.800000000000011
frame_001765.png,../../training_data/segmentation_dataset/images\frame_001765.png,../../training_data/masks_pred\frame_001765.png,207.81,198.72,9.090000000000003
frame_002530.png,../../training_data/segmentation_dataset/images\frame_002530.png,../../training_data/masks_pred\frame_002530.png,280.99,289.37,-8.379999999999995
frame_001014.png,../../training_data/segmentation_dataset/images\frame_001014.png,../../training_data/masks_pred\frame_001014.png,146.04,161.52,-15.480000000000018
frame_000360.png,../../training_data/segmentation_dataset/images\frame_000360.png,../../training_data/masks_pred\frame_000360.png,190.75,195.87,-5.1200000000000045
frame_001130.png,../../training_data/segmentation_dataset/images\frame_001130.png,../../training_data/masks_pred\frame_001130.png,184.15,195.58,-11.430000000000009
frame_001398.png,../../training_data/segmentation_dataset/images\frame_001398.png,../../training_data/masks_pred\frame_001398.png,247.57,247.95,-0.3799999999999954
frame_004945.png,../../training_data/segmentation_dataset/images\frame_004945.png,../../training_data/masks_pred\frame_004945.png,247.16,258.06,-10.900000000000006
frame_001848.png,../../training_data/segmentation_dataset/images\frame_001848.png,../../training_data/masks_pred\frame_001848.png,301.84,313.03,-11.189999999999998
frame_004578.png,../../training_data/segmentation_dataset/images\frame_004578.png,../../training_data/masks_pred\frame_004578.png,314.17,308.09,6.080000000000041
frame_000667.png,../../training_data/segmentation_dataset/images\frame_000667.png,../../training_data/masks_pred\frame_000667.png,259.47,268.89,-9.41999999999996
frame_005841.png,../../training_data/segmentation_dataset/images\frame_005841.png,../../training_data/masks_pred\frame_005841.png,179.51,187.44,-7.930000000000007
frame_005869.png,../../training_data/segmentation_dataset/images\frame_005869.png,../../training_data/masks_pred\frame_005869.png,292.9,302.04,-9.140000000000043
frame_005472.png,../../training_data/segmentation_dataset/images\frame_005472.png,../../training_data/masks_pred\frame_005472.png,159.65,173.61,-13.960000000000008
frame_004804.png,../../training_data/segmentation_dataset/images\frame_004804.png,../../training_data/masks_pred\frame_004804.png,158.35,167.76,-9.409999999999997
frame_003623.png,../../training_data/segmentation_dataset/images\frame_003623.png,../../training_data/masks_pred\frame_003623.png,258.56,266.77,-8.20999999999998
frame_000205.png,../../training_data/segmentation_dataset/images\frame_000205.png,../../training_data/masks_pred\frame_000205.png,248.79,260.21,-11.419999999999987
frame_002400.png,../../training_data/segmentation_dataset/images\frame_002400.png,../../training_data/masks_pred\frame_002400.png,261.86,270.53,-8.669999999999959
frame_000283.png,../../training_data/segmentation_dataset/images\frame_000283.png,../../training_data/masks_pred\frame_000283.png,229.73,239.56,-9.830000000000013
frame_005011.png,../../training_data/segmentation_dataset/images\frame_005011.png,../../training_data/masks_pred\frame_005011.png,172.1,185.12,-13.02000000000001
frame_005226.png,../../training_data/segmentation_dataset/images\frame_005226.png,../../training_data/masks_pred\frame_005226.png,265.32,264.1,1.2199999999999704
frame_002709.png,../../training_data/segmentation_dataset/images\frame_002709.png,../../training_data/masks_pred\frame_002709.png,277.53,283.73,-6.2000000000000455
frame_003005.png,../../training_data/segmentation_dataset/images\frame_003005.png,../../training_data/masks_pred\frame_003005.png,282.25,270.05,12.199999999999989
frame_006315.png,../../training_data/segmentation_dataset/images\frame_006315.png,../../training_data/masks_pred\frame_006315.png,247.78,236.83,10.949999999999989
frame_001381.png,../../training_data/segmentation_dataset/images\frame_001381.png,../../training_data/masks_pred\frame_001381.png,196.16,207.64,-11.47999999999999
frame_005856.png,../../training_data/segmentation_dataset/images\frame_005856.png,../../training_data/masks_pred\frame_005856.png,311.81,298.05,13.759999999999993
frame_005215.png,../../training_data/segmentation_dataset/images\frame_005215.png,../../training_data/masks_pred\frame_005215.png,213.9,226.81,-12.909999999999997
frame_003348.png,../../training_data/segmentation_dataset/images\frame_003348.png,../../training_data/masks_pred\frame_003348.png,221.68,240.81,-19.129999999999995
frame_003529.png,../../training_data/segmentation_dataset/images\frame_003529.png,../../training_data/masks_pred\frame_003529.png,214.57,223.87,-9.300000000000011
frame_001072.png,../../training_data/segmentation_dataset/images\frame_001072.png,../../training_data/masks_pred\frame_001072.png,192.78,200.58,-7.800000000000011
frame_001908.png,../../training_data/segmentation_dataset/images\frame_001908.png,../../training_data/masks_pred\frame_001908.png,156.95,172.81,-15.860000000000014
frame_004859.png,../../training_data/segmentation_dataset/images\frame_004859.png,../../training_data/masks_pred\frame_004859.png,285.83,296.24,-10.410000000000023
